timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,algorithm,dataset,language,phase
2024-09-29T19:40:10,codecarbon,13dc2bf3-fcc3-43f9-b737-8e005346ffbc,0.0009970664978027344,2.667045000924005e-09,2.674891801902333e-06,42.5,0.0,3.0,1.120236184861925e-08,0,5.884965260823568e-10,1.1790858374701608e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:40:17,codecarbon,9976488d-b091-4d5b-a580-757616b69e45,0.0014798641204833984,3.913321831491259e-09,2.6443791543597735e-06,42.5,0.0,3.0,1.644326580895318e-08,0,8.573134740193685e-10,1.730057928297255e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:40:22,codecarbon,05230fb1-01bd-4aa3-87d6-f3d4d540d87b,0.0009119510650634766,2.43198053850068e-09,2.6667884184458974e-06,42.5,0.0,3.0,1.0197526878780789e-08,0,5.541245142618815e-10,1.075165139304267e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:40:26,codecarbon,3ed872ab-c1cc-4a47-81c9-faf347d080f2,0.0013859272003173828,3.6675089542071034e-09,2.646249350880212e-06,42.5,0.0,3.0,1.54187281926473e-08,0,7.951259613037109e-10,1.6213854153951013e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:40:29,codecarbon,79345c3a-18cc-407e-b687-be5fdef52af8,0.0009620189666748047,2.573035694360733e-09,2.674620546468401e-06,42.5,0.0,3.0,1.0816752910614014e-08,0,5.584955215454103e-10,1.1375248432159423e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:40:33,codecarbon,7b255f65-cea5-45ae-ac80-676f41a397b5,0.0013189315795898438,3.569619732035531e-09,2.706447997208163e-06,42.5,0.0,3.0,1.4993713961707222e-08,0,7.873773574829101e-10,1.5781091319190132e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:40:37,codecarbon,62cb910a-5e47-4852-9d87-fad4d1d32f6d,0.0014977455139160156,3.984785682492785e-09,2.660522529007039e-06,42.5,0.0,3.0,1.675006416108873e-08,0,8.664528528849284e-10,1.7616517013973658e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:40:44,codecarbon,9d07754e-c7ba-4949-9134-9a7105147f05,0.0011141300201416016,2.988853290875753e-09,2.682679074113703e-06,42.5,0.0,3.0,1.2547771135965984e-08,0,6.657838821411132e-10,1.3213555018107098e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:40:48,codecarbon,af1faf2a-5c7f-4519-9a69-7af499ced557,0.0008931159973144531,2.404566462967131e-09,2.6923338851812304e-06,42.5,0.0,3.0,1.0096198982662626e-08,0,5.342562993367513e-10,1.0630455281999376e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:40:52,codecarbon,5d4b3fed-8111-4b84-a9dc-40ec74d5c278,0.0015108585357666016,4.025697070625094e-09,2.664509598565743e-06,42.5,0.0,3.0,1.689079735014174e-08,0,9.065866470336915e-10,1.779738399717543e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:40:56,codecarbon,121e9520-b011-4ccd-ad18-7009f99e0c9c,0.0012409687042236328,3.274191872146395e-09,2.638416151029993e-06,42.5,0.0,3.0,1.3766520553165013e-08,0,7.085005442301432e-10,1.4475021097395156e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:40:59,codecarbon,1a1170a9-5ec5-4627-80d8-701ae26f00bf,0.001348733901977539,3.589041780630748e-09,2.661045129338283e-06,42.5,0.0,3.0,1.5097856521606447e-08,0,7.690985997517904e-10,1.5866955121358237e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:41:03,codecarbon,b2b005a4-6ea8-4878-a5b9-c6af31d1a6e6,0.0008797645568847656,2.3480530203713315e-09,2.6689561451370074e-06,42.5,0.0,3.0,9.868211216396757e-09,0,5.12401262919108e-10,1.0380612479315865e-08,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
2024-09-29T19:41:10,codecarbon,0ca4ed58-9699-423b-9aeb-ceffd5abc611,0.00032901763916015625,8.61513539287779e-10,2.6184417999194847e-06,42.5,0.0,3.0,3.611213631100125e-09,0,1.9749005635579425e-10,3.808703687455919e-09,Italy,ITA,tuscany,,,macOS-14.6.1-arm64-arm-64bit,3.10.14,2.2.2,8,Apple M2,,,11.2356,43.7891,8.0,machine,N
