,algorithm,dataset,language,phase,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
71,adaBoost,iris,R,train,0.007947230339050253,9.842825487807947e-08,2.2264077540402062e-08,2.8022702816063955e-06,42.5,9.220829164540328e-08
72,adaBoost,iris,cpp,test,0.00070640549978023,7.71727934478703e-09,2.552243190349277e-09,3.6126273100614862e-06,42.5,7.3522863170991415e-09
73,adaBoost,iris,cpp,train,0.0019485262335364934,2.3619266284152187e-08,7.811316506962243e-09,4.017417585770633e-06,42.5,2.2188622728781076e-08
74,adaBoost,iris,java,test,0.0009105920791625466,1.0778929348345157e-08,2.438150702878281e-09,2.6771468538988987e-06,42.5,1.024865993747005e-08
75,adaBoost,iris,java,train,0.00098257859547929,1.1593166324827408e-08,2.6223278500106604e-09,2.671715988111509e-06,42.5,1.1023630698521934e-08
76,adaBoost,iris,matlab,test,0.007913112640380813,9.765161629076358e-08,2.084698121728163e-08,2.588169120008317e-06,42.5,9.153755726637666e-08
77,adaBoost,iris,matlab,train,0.03456139564514156,4.3555487968303543e-07,9.852077156478389e-08,2.850007493913223e-06,42.5,4.0701145375216454e-07
78,adaBoost,iris,python,test,0.013876986503601021,1.7378572181419092e-07,3.793436620189871e-08,2.739214285091084e-06,42.5,1.6254533220220497e-07
79,adaBoost,iris,python,train,0.07446437676747637,9.404535392920176e-07,2.1272682877369727e-07,2.8567582986508225e-06,42.5,8.785356581211091e-07
80,adaBoost,wine,R,test,0.14745748043060297,1.8628148977403287e-06,4.213612786092714e-07,2.8575089861196078e-06,42.5,1.74012600823685e-06
81,adaBoost,wine,R,train,0.020110066731770786,2.5263295239872405e-07,5.107926181004325e-08,2.560079911800599e-06,42.5,2.361882891919878e-07
82,adaBoost,wine,cpp,test,0.0007655875328054634,8.5350837384626e-09,2.8227058238168744e-09,3.676231010296246e-06,42.5,8.118779322238104e-09
83,adaBoost,wine,cpp,train,0.0054419597330706325,6.744665231217033e-08,1.8796774256567752e-08,3.6978668324520273e-06,42.5,6.319090817307236e-08
84,adaBoost,wine,java,test,0.0010291179021199033,1.2179157248249763e-08,2.617055747107026e-09,2.5860983212141005e-06,42.5,1.1571739558820372e-08
85,adaBoost,wine,java,train,0.2573830922444661,3.252612776226468e-06,7.315950668649763e-07,2.5422374138045344e-06,42.5,3.0382741822136775e-06
86,adaBoost,wine,matlab,test,0.014676912625630647,1.835870345433553e-07,4.152665286556881e-08,2.8174193876721317e-06,42.5,1.717316442065769e-07
87,adaBoost,wine,matlab,train,0.04948260784149165,6.242277412502855e-07,1.411978181598496e-07,2.8521866851159375e-06,42.5,5.832263882513401e-07
88,adaBoost,wine,python,test,0.028668085734049432,3.6121867431534667e-07,7.894506941207376e-08,2.7560347659144082e-06,42.5,3.375691009892358e-07
89,adaBoost,wine,python,train,0.33483038743336996,4.231174931482032e-06,9.5707484480151e-07,2.858387037879337e-06,42.5,3.952289427872058e-06
90,decisionTree,breastCancer,R,test,0.007963363329569447,9.849801438826103e-08,2.2279856862567094e-08,2.798171057653031e-06,42.5,9.232106584089775e-08
